"filename", "language", "Properties", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "Markdown", "XML", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\vscode-workspace\me\employee-profiling\src\views\OverallPortrait\OverallPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 6, 125
"e:\vscode-workspace\me\employee-profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 12, 178
"e:\vscode-workspace\me\employee-profiling\src\views\Performance\Performance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 3, 37
"e:\vscode-workspace\me\employee-profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 584, 0, 0, 0, 32, 616
"e:\vscode-workspace\me\employee-profiling\src\views\Performance\components\PerforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 92
"e:\vscode-workspace\me\employee-profiling\src\views\PositionPortrait\PositionPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 7, 168
"e:\vscode-workspace\me\employee-profiling\src\views\Register\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 15, 175
"e:\vscode-workspace\me\employee-profiling\src\views\TagManage\TagManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 15, 219
"e:\vscode-workspace\me\employee-profiling\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 36
"e:\vscode-workspace\me\employee-profiling\tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\vscode-workspace\me\employee-profiling\types\auto-imports.d.ts", "TypeScript", 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 8, 1, 285
"e:\vscode-workspace\me\employee-profiling\types\components.d.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 2, 23
"e:\vscode-workspace\me\employee-profiling\types\shims.d.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\vscode-workspace\me\employee-profiling\types\vite-env.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\vscode-workspace\me\employee-profiling\vite.config.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 8, 7, 88
"Total", "-", 5, 191, 27, 2538, 6648, 13, 13, 2216, 7089, 7, 278, 362, 1653, 21040
